Title,Price (INR),Rating,Image URL,Type
N/A,48550,4.0 out of 5 stars,https://m.media-amazon.com/images/I/71aup0IO2ZL._AC_UY218_.jpg,Organic
N/A,40499,N/A,https://m.media-amazon.com/images/I/71rDlgf2Q6L._AC_UY218_.jpg,Organic
N/A,89990,4.3 out of 5 stars,https://m.media-amazon.com/images/I/71KML--Vz9L._AC_UY218_.jpg,Organic
N/A,61377,4.1 out of 5 stars,https://m.media-amazon.com/images/I/51+50luRJkL._AC_UY218_.jpg,Organic
N/A,77990,5.0 out of 5 stars,https://m.media-amazon.com/images/I/61JXT1qggjL._AC_UY218_.jpg,Organic
N/A,77990,4.4 out of 5 stars,https://m.media-amazon.com/images/I/714zVJcMt5L._AC_UY218_.jpg,Organic
N/A,279990,3.6 out of 5 stars,https://m.media-amazon.com/images/I/81yUKF8dkiL._AC_UY218_.jpg,Organic
N/A,83990,3.8 out of 5 stars,https://m.media-amazon.com/images/I/71dyfY6G0aL._AC_UY218_.jpg,Organic
N/A,78990,4.1 out of 5 stars,https://m.media-amazon.com/images/I/71D9HSayVSL._AC_UY218_.jpg,Organic
N/A,166990,4.5 out of 5 stars,https://m.media-amazon.com/images/I/71tjv6DBEtL._AC_UY218_.jpg,Organic
N/A,57990,4.1 out of 5 stars,https://m.media-amazon.com/images/I/81qzE9lsXkL._AC_UY218_.jpg,Organic
N/A,38890,3.6 out of 5 stars,https://m.media-amazon.com/images/I/61+6C077NmL._AC_UY218_.jpg,Organic
N/A,71800,4.2 out of 5 stars,https://m.media-amazon.com/images/I/71NNmJ0SE8L._AC_UY218_.jpg,Organic
N/A,28990,4.3 out of 5 stars,https://m.media-amazon.com/images/I/51JTBldTCXL._AC_UY218_.jpg,Organic
N/A,24990,4.4 out of 5 stars,https://m.media-amazon.com/images/I/51CIIx6l+VL._AC_UY218_.jpg,Organic
